Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
java-common,0.68ubuntu1~18.04.1,all,6.7.15_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.15,TRUE
java-common,0.68ubuntu1~18.04.1,all,6.7.15.1_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.15.1,TRUE
java-common,0.68ubuntu1~18.04.1,all,6.7.15.2_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.15.2,TRUE
java-common,0.68ubuntu1~18.04.1,all,6.7.16_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.16,TRUE
java-common,0.68ubuntu1~18.04.1,all,6.7.17_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.17,TRUE
java-common,0.68ubuntu1~18.04.1,all,6.7.17.1_AssayDev,14520,0.68ubuntu1~18.04.1,TRUE,6.7.17.1,TRUE
rclone,v1.54.1,linux-amd64,6.7.15_AssayDev,14314950,v1.54.1,TRUE,6.7.15,TRUE
rclone,v1.54.1,linux-amd64,6.7.15.1_AssayDev,14314950,v1.54.1,TRUE,6.7.15.1,TRUE
rclone,v1.54.1,linux-amd64,6.7.15.2_AssayDev,14314950,v1.54.1,TRUE,6.7.15.2,TRUE
rclone,v1.54.1,linux-amd64,6.7.16_AssayDev,14314950,v1.54.1,TRUE,6.7.16,TRUE
rclone,v1.54.1,linux-amd64,6.7.17_AssayDev,14314950,v1.54.1,TRUE,6.7.17,TRUE
rclone,v1.54.1,linux-amd64,6.7.17.1_AssayDev,14314950,v1.54.1,TRUE,6.7.17.1,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.15_AssayDev,787010580,1.9.0,TRUE,6.7.15,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.15.1_AssayDev,787010580,1.9.0,TRUE,6.7.15.1,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.15.2_AssayDev,787010580,1.9.0,TRUE,6.7.15.2,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.16_AssayDev,787010580,1.9.0,TRUE,6.7.16,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.17_AssayDev,787010580,1.9.0,TRUE,6.7.17,TRUE
ts-algorithm-514,1.9.0,amd64,6.7.17.1_AssayDev,787010580,1.9.0,TRUE,6.7.17.1,TRUE
ts-algorithm-68,6.7.14,amd64,6.7.15_AssayDev,4267398724,6.7.14,TRUE,6.7.15,TRUE
ts-algorithm-68,6.7.15,amd64,6.7.15.1_AssayDev,4259906048,6.7.15,TRUE,6.7.15.1,TRUE
ts-algorithm-68,6.7.15,amd64,6.7.16_AssayDev,4259906048,6.7.15,TRUE,6.7.16,TRUE
ts-algorithm-68,6.7.15.2,amd64,6.7.15.2_AssayDev,4267356072,6.7.15.2,TRUE,6.7.15.2,TRUE
ts-algorithm-68,6.7.17.4,amd64,6.7.17_AssayDev,4262670464,6.7.17.4,TRUE,6.7.17,TRUE
ts-algorithm-68,6.7.17.4,amd64,6.7.17.1_AssayDev,4262670464,6.7.17.4,TRUE,6.7.17.1,TRUE
ts-apache2,6.7.12.1,amd64,6.7.15_AssayDev,54857336,6.7.12.1,TRUE,6.7.15,TRUE
ts-apache2,6.7.12.1,amd64,6.7.15.1_AssayDev,54857336,6.7.12.1,TRUE,6.7.15.1,TRUE
ts-apache2,6.7.12.1,amd64,6.7.15.2_AssayDev,54857336,6.7.12.1,TRUE,6.7.15.2,TRUE
ts-apache2,6.7.12.1,amd64,6.7.16_AssayDev,54857336,6.7.12.1,TRUE,6.7.16,TRUE
ts-apache2,6.7.17,amd64,6.7.17_AssayDev,55343992,6.7.17,TRUE,6.7.17,TRUE
ts-apache2,6.7.17,amd64,6.7.17.1_AssayDev,55343992,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.15_AssayDev,75020,6.2.0,TRUE,6.7.15,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.15.1_AssayDev,75020,6.2.0,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.15.2_AssayDev,75020,6.2.0,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.16_AssayDev,75020,6.2.0,TRUE,6.7.16,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.17_AssayDev,75020,6.2.0,TRUE,6.7.17,TRUE
ts-assaydev-ampliseq-coca-541-v2,6.2.0,amd64,6.7.17.1_AssayDev,75020,6.2.0,TRUE,6.7.17.1,TRUE
